	id	title	local	subway	distance	walk
61	291	땅코참숯구이 뚝섬직영점	성수동	뚝섬역	435.0	2
395	292	구아바	성수동	성수역	408.0	2
192	293	한냄비	성수동	서울숲역	92.0	1
53	294	더즌오이스터 성수	성수동	뚝섬역	493.0	2
70	295	외가집	성수동	성수역	420.0	2
364	296	기러기둥지 성수	성수동	성수역	324.0	2
408	297	El Patio	성수동	뚝섬역	411.0	2
406	298	슬랙	성수동	성수역	468.0	2
15	299	뚝섬해물탕	성수동	성수역	858.0	4
474	300	상구비어 서울숲점	성수동	뚝섬역	212.0	1
82	301	천미향	성수동	성수역	282.0	1
94	302	마봉양꼬치 성수점	성수동	뚝섬역	24.0	1
123	303	신신원	성수동	성수역	740.0	3
178	304	아타리	성수동	성수역	875.0	4
185	305	신라다랑원 성수점	성수동	성수역	214.0	1
90	306	성운	성수동	성수역	615.0	3
93	307	성수장	성수동	성수역	282.0	1
358	308	미도림	성수동	뚝섬역	206.0	1
52	309	찐짜솥뚜껑삼겹살갈비	성수동	성수역	355.0	2
429	310	찌마찌마	성수동	성수역	430.0	2
142	311	찌마찌마	성수동	성수역	430.0	2
98	312	오한수우육면가 성수역점	성수동	성수역	152.0	1
21	313	성수동 셋째집	성수동	뚝섬역	37.0	1
125	314	승리원	성수동	서울숲역	28.0	1
85	315	고투웍 성수역점	성수동	성수역	256.0	1
501	316	덕	성수동	성수역	266.0	1
139	317	황금어장	성수동	성수역	35.0	1
369	318	원앤하프	성수동	서울숲역	431.0	2
222	319	갓잇 성수 홀리워터점	성수동	성수역	255.0	1
341	320	파티세리후르츠	성수동	성수역	546.0	2
458	321	소시맥분	성수동	뚝섬역	96.0	1
54	322	칼	성수동	성수역	222.0	1
45	323	제일	성수동	뚝섬역	174.0	1
440	324	탄스이카부츠	성수동	성수역	222.0	1
465	325	짝태먹태	성수동	성수역	188.0	1
133	326	탄스이카부츠	성수동	성수역	222.0	1
100	327	봉짬뽕	성수동	뚝섬역	409.0	2
171	328	카카모루 성수점	성수동	성수역	192.0	1
359	329	노우노우바운즈	성수동	뚝섬역	96.0	1
432	330	작야	성수동	성수역	940.0	4
437	331	토메루 성수점	성수동	성수역	256.0	1
260	332	에이셉피자 성수점	성수동	뚝섬역	299.0	1
183	333	강호연파 성수 숲속산장점	성수동	뚝섬역	347.0	2
197	334	마루제면소	성수동	성수역	709.0	3
191	335	성수일구	성수동	성수역	786.0	4
443	336	성수일구	성수동	성수역	786.0	4
463	337	JAFA Brewery	성수동	성수역	337.0	2
59	338	메종 성수돈	성수동	성수역	244.0	1
237	339	투그	성수동	성수역	410.0	2
120	340	웰컴차이나	성수동	성수역	101.0	1
366	341	MELD	성수동	뚝섬역	117.0	1
117	342	미각짬뽕양꼬치	성수동	성수역	163.0	1
163	343	쿠시범	성수동	성수역	337.0	2
426	344	쿠시범	성수동	성수역	337.0	2
455	345	맥스카나	성수동	뚝섬역	59.0	1
128	346	쉐프우	성수동	뚝섬역	195.0	1
401	347	미러 성수	성수동	성수역	335.0	2
83	348	더블해피니스	성수동	성수역	224.0	1
17	349	우시야 성수점	성수동	성수역	729.0	3
375	350	위키드와이프	성수동	서울숲역	450.0	2
481	351	박가객주	성수동	성수역	78.0	1
328	352	맥파이앤타이거 성수티룸	성수동	성수역	77.0	1
119	353	송가	성수동	뚝섬역	232.0	1
379	354	침묵을깨다	성수동	성수역	442.0	2
473	355	불난맥주 뚝섬역점	성수동	뚝섬역	116.0	1
468	356	행운호프	성수동	성수역	35.0	1
269	357	에피타이트	성수동	서울숲역	467.0	2
466	358	룰루랄라 뚝섬역점	성수동	뚝섬역	110.0	1
143	359	호감도	성수동	성수역	617.0	3
208	360	부우이	성수동	서울숲역	619.0	3
404	361	우오보 파스타 바	성수동	성수역	661.0	3
361	362	코너룸	성수동	뚝섬역	302.0	1
450	363	란돌프서울숲	성수동	뚝섬역	466.0	2
368	364	얼룩	성수동	뚝섬역	155.0	1
469	365	무지개맥주 성수역점	성수동	성수역	134.0	1
108	366	육육면관	성수동	뚝섬역	270.0	1
382	367	밤의,와인테라스 서울숲	성수동	뚝섬역	279.0	1
132	368	만리장성 위례점2	성수동	성수역	55.0	1
376	369	제로드	성수동	서울숲역	631.0	3
456	370	생활맥주 성수 한라시그마밸리점	성수동	성수역	465.0	2
295	371	모센즈스위트 성수점	성수동	성수역	565.0	3
430	372	텐바	성수동	성수역	219.0	1
397	373	리타르단도	성수동	성수역	653.0	3
381	374	테이블 소사이어티 클럽	성수동	서울숲역	457.0	2
200	375	텐바	성수동	성수역	219.0	1
167	376	코치	성수동	성수역	707.0	3
441	377	코치	성수동	성수역	707.0	3
413	378	구스케이지	성수동	뚝섬역	514.0	2
410	379	문화공간 성수	성수동	뚝섬역	162.0	1
365	380	성수골목	성수동	서울숲역	306.0	1
483	381	원샷치킨	성수동	성수역	14.0	1
63	382	열기	성수동	성수역	865.0	4
448	383	성수스타우트	성수동	뚝섬역	297.0	1
371	384	아카이브 서울	성수동	뚝섬역	56.0	1
266	385	PEEPS	성수동	서울숲역	439.0	2
215	386	투파인드피터 서울성수점	성수동	성수역	31.0	1
384	387	DODODO	성수동	성수역	784.0	4
2	388	우리마키 성수점	성수동	성수역	359.0	2
152	389	스아게 성수점	성수동	뚝섬역	24.0	1
363	390	곡성	성수동	서울숲역	616.0	3
387	391	모루타루	성수동	뚝섬역	120.0	1
67	392	청년냉삼집	성수동	성수역	277.0	1
257	393	패티패티	성수동	성수역	615.0	3
388	394	레타주	성수동	뚝섬역	132.0	1
477	395	오비광장	성수동	성수역	46.0	1
229	396	아파스타먼트	성수동	뚝섬역	155.0	1
244	397	라지라프	성수동	성수역	514.0	2
124	398	부덕관	성수동	서울숲역	828.0	4
460	399	리퀴드랩	성수동	뚝섬역	73.0	1
462	400	LAZZO	성수동	뚝섬역	174.0	1
362	401	칠칠칠	성수동	성수역	571.0	3
270	402	패티앤베지스 성수	성수동	서울숲역	257.0	1
479	403	맥문동호프	성수동	뚝섬역	83.0	1
415	404	브릴로	성수동	뚝섬역	371.0	2
447	405	생활맥주 성수역1번출구점	성수동	성수역	213.0	1
383	406	디어민	성수동	뚝섬역	274.0	1
92	407	살롱드호우섬 디타워서울포레스트점	성수동	서울숲역	257.0	1
370	408	오스테리아 로에로	성수동	성수역	617.0	3
89	409	바오 서울	성수동	성수역	725.0	3
377	410	스몰글라스	성수동	서울숲역	512.0	2
373	411	마이올드포스터	성수동	서울숲역	357.0	2
136	412	성수 수집	성수동	서울숲역	427.0	2
267	413	세밀	성수동	성수역	305.0	1
385	414	파라디	성수동	성수역	719.0	3
478	415	백두대간 성수점	성수동	서울숲역	798.0	4
372	416	Le vin	성수동	뚝섬역	171.0	1
407	417	성수오오	성수동	서울숲역	409.0	2
