	id	title	visitcount	reviewcount
41	129	명국수	668.0	286.0
431	130	토라식당	664.0	201.0
18	131	소인수서울	663.0	420.0
186	132	토라식당	663.0	201.0
99	133	하오마라	659.0	341.0
454	134	성수맥주	659.0	345.0
249	135	세디치	654.0	626.0
177	136	스시메이 성수점	649.0	397.0
62	137	팔각도 성수역점	648.0	635.0
275	138	노모어피자 서울숲점	646.0	628.0
91	139	우웨이탕	646.0	287.0
80	140	차이나플레인 서울숲점	645.0	345.0
299	141	베티버 성수	638.0	529.0
134	142	윤경	626.0	215.0
226	143	마리오네	626.0	334.0
116	144	홍콩반점0410 성수역점	625.0	580.0
81	145	성수속향연	624.0	243.0
271	146	비스트로성수	624.0	350.0
173	147	중화카츠 성수본점	622.0	387.0
280	148	에이투비 Cafe&Bar	608.0	352.0
446	149	그리드채플린	606.0	255.0
329	150	카멜커피 7호점	605.0	592.0
242	151	포피나	602.0	487.0
181	152	기후	597.0	330.0
355	153	성수옥상	596.0	578.0
340	154	BNHR	590.0	384.0
156	155	정돈 성수점	589.0	546.0
46	156	세광양대창 성수점	589.0	249.0
24	157	무식당 성수본점	586.0	317.0
228	158	타코튜즈데이 성수점	582.0	566.0
225	159	팩피	581.0	211.0
102	160	짬뽕위에더짬뽕	579.0	306.0
184	161	텐동식당	576.0	316.0
37	162	성수동 간판없는집	572.0	208.0
289	163	테니	570.0	560.0
334	164	어라운드데이	561.0	285.0
190	165	고운 돈카츠	555.0	313.0
27	166	홍화돈	553.0	331.0
246	167	누메로뜨레쓰	525.0	284.0
28	168	뚝도농원	522.0	471.0
206	169	스케줄 성수	518.0	502.0
75	170	달구벌반점	518.0	181.0
168	171	아키야마	516.0	248.0
422	172	아키야마	516.0	248.0
103	173	왕짜장	512.0	213.0
326	174	카페온화 성수점	510.0	201.0
238	175	칙피스 성수점	497.0	325.0
233	176	고든램지스트리트피자 서울숲점	495.0	445.0
32	177	성수노루	493.0	439.0
64	178	이북집 찹쌀순대 성수점	491.0	203.0
272	179	아울림	489.0	385.0
444	180	나누리잡화점	478.0	277.0
343	181	단일서울	478.0	281.0
252	182	위드번	475.0	469.0
315	183	빙봉	473.0	211.0
234	184	빙봉	473.0	211.0
113	185	명가교동짬뽕 뚝섬역점	464.0	239.0
451	186	아트몬스터 성수점	463.0	161.0
68	187	오발탄 서울숲점	455.0	241.0
155	188	온센 성수점	451.0	281.0
69	189	계모임	449.0	446.0
162	190	멘야마쯔리 성수점	445.0	291.0
201	191	저스트텐동 성수점	441.0	352.0
76	192	전자방	436.0	188.0
86	193	서우	433.0	207.0
240	194	피키니키 라자냐	431.0	426.0
284	195	더반 베를린 성수점	431.0	277.0
189	196	록멘	430.0	269.0
262	197	HDD피자	429.0	297.0
346	198	러프러프	427.0	422.0
66	199	신사소곱창 성수점	425.0	239.0
57	200	밀본 본점	425.0	173.0
293	201	프롤라	424.0	355.0
301	202	플디 성수점	418.0	145.0
115	203	유향소	416.0	161.0
324	204	묘사서울	415.0	174.0
459	205	역전할머니맥주 성수점	414.0	268.0
40	206	그믐족발 성수점	413.0	232.0
250	207	아치	411.0	365.0
259	208	까까를로	411.0	251.0
423	209	오와리 본점	402.0	301.0
394	210	포지티브 제로 라운지	401.0	64.0
109	211	중화요리승리원	401.0	102.0
164	212	오와리 본점	400.0	301.0
194	213	마구로쇼쿠도	400.0	226.0
273	214	까망	398.0	392.0
261	215	피자시즌	395.0	251.0
263	216	일구공 성수 본점	389.0	208.0
347	217	발렁스	387.0	240.0
182	218	스시이치바	386.0	209.0
291	219	타임애프터타임	383.0	107.0
97	220	홍보석	379.0	214.0
319	221	포동푸딩	373.0	291.0
71	222	고공 성수본점	366.0	229.0
55	223	민정식당 서울숲 직영점	364.0	153.0
58	224	죽변항	362.0	144.0
211	225	콩카세	358.0	354.0
107	226	용짜장	357.0	137.0
353	227	희릿	354.0	324.0
434	228	신월	347.0	264.0
202	229	신월	347.0	264.0
56	230	보끔당 성수점	346.0	344.0
245	231	퀴버 서울숲	346.0	329.0
212	232	보이어	346.0	164.0
247	233	롸카두들 내쉬빌 핫치킨 성수점	342.0	336.0
354	234	윕 성수	337.0	197.0
140	235	호타루	336.0	160.0
78	236	지우관	336.0	334.0
338	237	브루잉 세레모니	335.0	180.0
48	238	백정돈공장	331.0	180.0
35	239	금금 성수점	331.0	304.0
