	id	title	kind_big	kind_small	kind_detail
272	179	아울림	맛집	양식	양식
444	180	나누리잡화점	술집	맥주집	맥주,호프
343	181	단일서울	카페	카페	카페,디저트
252	182	위드번	맛집	양식	햄버거
315	183	빙봉	카페	카페	브런치
234	184	빙봉	맛집	양식	브런치
113	185	명가교동짬뽕 뚝섬역점	맛집	중식	중식당
451	186	아트몬스터 성수점	술집	맥주집	맥주,호프
68	187	오발탄 서울숲점	맛집	한식	곱창,막창,양
155	188	온센 성수점	맛집	일식	일식당
69	189	계모임	맛집	한식	한식
162	190	멘야마쯔리 성수점	맛집	일식	일본식라면
201	191	저스트텐동 성수점	맛집	일식	일식당
76	192	전자방	맛집	중식	중식당
86	193	서우	맛집	중식	중식당
240	194	피키니키 라자냐	맛집	양식	양식
284	195	더반 베를린 성수점	카페	카페	카페,디저트
189	196	록멘	맛집	일식	일본식라면
262	197	HDD피자	맛집	양식	피자
346	198	러프러프	카페	카페	카페,디저트
66	199	신사소곱창 성수점	맛집	한식	곱창,막창,양
57	200	밀본 본점	맛집	한식	칼국수,만두
293	201	프롤라	카페	카페	카페,디저트
301	202	플디 성수점	카페	카페	카페,디저트
115	203	유향소	맛집	중식	중식당
324	204	묘사서울	카페	카페	카페
459	205	역전할머니맥주 성수점	술집	맥주집	맥주,호프
40	206	그믐족발 성수점	맛집	한식	족발,보쌈
250	207	아치	맛집	양식	양식
259	208	까까를로	맛집	양식	이탈리아음식
423	209	오와리 본점	술집	이자카야	이자카야
394	210	포지티브 제로 라운지	술집	와인바	바(BAR)
109	211	중화요리승리원	맛집	중식	중식당
164	212	오와리 본점	맛집	일식	이자카야
194	213	마구로쇼쿠도	맛집	일식	일식당
273	214	까망	맛집	양식	스파게티,파스타전문
261	215	피자시즌	맛집	양식	피자
263	216	일구공 성수 본점	맛집	양식	햄버거
347	217	발렁스	카페	카페	카페,디저트
182	218	스시이치바	맛집	일식	초밥,롤
291	219	타임애프터타임	카페	카페	카페,디저트
97	220	홍보석	맛집	중식	중식당
319	221	포동푸딩	카페	카페	카페,디저트
71	222	고공 성수본점	맛집	한식	육류,고기요리
55	223	민정식당 서울숲 직영점	맛집	한식	한식
58	224	죽변항	맛집	한식	생선회
211	225	콩카세	맛집	양식	양식
107	226	용짜장	맛집	중식	중식당
353	227	희릿	술집	와인바	와인
434	228	신월	술집	이자카야	이자카야
202	229	신월	맛집	일식	이자카야
56	230	보끔당 성수점	맛집	한식	한식
245	231	퀴버 서울숲	맛집	양식	양식
212	232	보이어	맛집	양식	양식
247	233	롸카두들 내쉬빌 핫치킨 성수점	맛집	양식	햄버거
354	234	윕 성수	술집	와인바	와인
140	235	호타루	맛집	일식	돈가스
78	236	지우관	맛집	중식	딤섬,중식만두
338	237	브루잉 세레모니	카페	카페	카페,디저트
48	238	백정돈공장	맛집	한식	돼지고기구이
35	239	금금 성수점	맛집	한식	한식
135	240	미쁘동 서울숲	맛집	일식	일식당
60	241	계월 곰탕	맛집	한식	닭요리
174	242	이로우	맛집	일식	이자카야
424	243	이로우	술집	이자카야	이자카야
268	244	페이퍼 플레이트	맛집	양식	피자
33	245	뚝 다이닝	맛집	한식	한식
34	246	직화삼곱	맛집	한식	한식
19	247	성수부두	맛집	한식	조개요리
287	248	청키드	카페	카페	베이커리
88	249	이가네양꼬치 성수직영점	맛집	중식	양꼬치
241	250	리틀포레스트	맛집	양식	브런치
104	251	장가	맛집	중식	중식당
348	252	리틀포레스트	카페	카페	브런치
255	253	멜라	맛집	양식	양식
3	254	고우성수	맛집	한식	한식
138	255	스시오오모토	맛집	일식	일식당
26	256	조개도	맛집	한식	조개요리
188	257	스시현	맛집	일식	초밥,롤
122	258	짬뽕품격	맛집	중식	중식당
118	259	짬뽕타운	맛집	중식	중식당
453	260	펀비어킹 성동 성수역점	술집	맥주집	맥주,호프
457	261	땡기면땡비어	술집	맥주집	맥주,호프
112	262	수향	맛집	중식	중식당
170	263	도도한면 성수본점	맛집	일식	우동,소바
111	264	라이홍	맛집	중식	중식당
166	265	마씨	맛집	일식	돈가스
256	266	201호	맛집	양식	브런치
47	267	반상회 성수	맛집	한식	한식
258	268	비스트리오	맛집	양식	프랑스음식
350	269	유스트레스	카페	카페	카페,디저트
470	270	페스티발	술집	맥주집	맥주,호프
165	271	토리아에즈	맛집	일식	이자카야
427	272	토리아에즈	술집	이자카야	이자카야
391	273	오늘와인한잔 성수가든점	술집	와인바	와인
367	274	캐주얼성수	술집	와인바	와인
65	275	장맛손칼국수	맛집	한식	칼국수,만두
452	276	슈에뜨펍	술집	맥주집	맥주,호프
428	277	오와리 뚝섬점	술집	이자카야	이자카야
30	278	동구식당	맛집	한식	한식
141	279	소바마에	맛집	일식	우동,소바
148	280	훈연	맛집	일식	일식당
360	281	포도젝트	술집	와인바	와인
114	282	홍정원	맛집	중식	중식당
121	283	자금성	맛집	중식	중식당
105	284	성수차이나	맛집	중식	중식당
332	285	숨은	카페	카페	카페,디저트
380	286	성수로운	술집	와인바	와인
309	287	디플랫 성수	카페	카페	카페,디저트
193	288	행운식당	맛집	일식	돈가스
137	289	도죠	맛집	일식	일식당
449	290	금별맥주 성수점	술집	맥주집	맥주,호프
61	291	땅코참숯구이 뚝섬직영점	맛집	한식	돼지고기구이
395	292	구아바	술집	와인바	바(BAR)
192	293	한냄비	맛집	일식	일식당
53	294	더즌오이스터 성수	맛집	한식	굴요리
70	295	외가집	맛집	한식	육류,고기요리
364	296	기러기둥지 성수	술집	와인바	와인
408	297	El Patio	술집	와인바	바(BAR)
406	298	슬랙	술집	와인바	와인
15	299	뚝섬해물탕	맛집	한식	매운탕,해물탕
474	300	상구비어 서울숲점	술집	맥주집	맥주,호프
82	301	천미향	맛집	중식	중식당
94	302	마봉양꼬치 성수점	맛집	중식	양꼬치
123	303	신신원	맛집	중식	중식당
178	304	아타리	맛집	일식	일식튀김,꼬치
185	305	신라다랑원 성수점	맛집	일식	초밥,롤
90	306	성운	맛집	중식	중식당
93	307	성수장	맛집	중식	중식당
358	308	미도림	술집	와인바	와인
52	309	찐짜솥뚜껑삼겹살갈비	맛집	한식	찌개,전골
429	310	찌마찌마	술집	이자카야	이자카야
142	311	찌마찌마	맛집	일식	이자카야
98	312	오한수우육면가 성수역점	맛집	중식	중식당
21	313	성수동 셋째집	맛집	한식	돼지고기구이
125	314	승리원	맛집	중식	중식당
85	315	고투웍 성수역점	맛집	중식	중식당
501	316	덕	술집	맥주집	와인
139	317	황금어장	맛집	일식	생선회
369	318	원앤하프	술집	와인바	와인
222	319	갓잇 성수 홀리워터점	맛집	양식	멕시코,남미음식
341	320	파티세리후르츠	카페	카페	카페,디저트
458	321	소시맥분	술집	맥주집	맥주,호프
54	322	칼	맛집	한식	칼국수,만두
45	323	제일	맛집	한식	한식
440	324	탄스이카부츠	술집	이자카야	일식당
465	325	짝태먹태	술집	맥주집	맥주,호프
133	326	탄스이카부츠	맛집	일식	일식당
100	327	봉짬뽕	맛집	중식	중식당
171	328	카카모루 성수점	맛집	일식	카레
359	329	노우노우바운즈	술집	와인바	와인
432	330	작야	술집	이자카야	이자카야
437	331	토메루 성수점	술집	이자카야	이자카야
260	332	에이셉피자 성수점	맛집	양식	피자
183	333	강호연파 성수 숲속산장점	맛집	일식	샤브샤브
197	334	마루제면소	맛집	일식	일본식라면
191	335	성수일구	맛집	일식	일식당
443	336	성수일구	술집	이자카야	일식당
463	337	JAFA Brewery	술집	맥주집	맥주,호프
59	338	메종 성수돈	맛집	한식	육류,고기요리
237	339	투그	맛집	양식	양식
120	340	웰컴차이나	맛집	중식	중식당
366	341	MELD	술집	와인바	와인
117	342	미각짬뽕양꼬치	맛집	중식	중식당
163	343	쿠시범	맛집	일식	이자카야
426	344	쿠시범	술집	이자카야	이자카야
455	345	맥스카나	술집	맥주집	맥주,호프
128	346	쉐프우	맛집	중식	중식당
401	347	미러 성수	술집	와인바	바(BAR)
83	348	더블해피니스	맛집	중식	중식당
17	349	우시야 성수점	맛집	한식	소고기구이
375	350	위키드와이프	술집	와인바	와인
481	351	박가객주	술집	맥주집	맥주,호프
328	352	맥파이앤타이거 성수티룸	카페	카페	차
119	353	송가	맛집	중식	중식당
379	354	침묵을깨다	술집	와인바	와인
473	355	불난맥주 뚝섬역점	술집	맥주집	맥주,호프
468	356	행운호프	술집	맥주집	맥주,호프
269	357	에피타이트	맛집	양식	양식
